# TEMA: HISTÓRIA DO BRASIL: DO PRÉ-CABRALINO AO FINAL DO SÉCULO XX
# DESCRIÇÃO: Quiz abrangente sobre a chegada dos portugueses, períodos colonial (cana e ouro), Império (I e II Reinados) e República (Velha, Era Vargas, Ditadura e Redemocratização).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"BRASIL COLÔNIA I (CHEGADA E INÍCIO): O que primariamente atraía Portugal para o Oriente, e que motivou as grandes navegações que levaram ao descobrimento do Brasil?","A busca por novas terras para fixação de camponeses.","A exploração do ouro na África.","A busca por especiarias das Índias, que tinham alto valor comercial na Europa.","A expansão da fé católica na América.",c
"BRASIL COLÔNIA I (CHEGADA E INÍCIO): Qual foi o principal produto do extrativismo que os portugueses exploraram no início da colonização e que serviu como moeda de troca com os indígenas?","Cana-de-açúcar","Café","Pau-Brasil","Algodão",c
"BRASIL COLÔNIA I (CHEGADA E INÍCIO): Qual era o nome do acordo assinado em 1494 que dividia as terras descobertas (ou a descobrir) entre Portugal e Espanha?","Tratado de Madri","Tratado de Utrecht","Tratado de Tordesilhas","Édito de Milão",c
"BRASIL COLÔNIA I (CHEGADA E INÍCIO): Por aproximadamente quanto tempo o Brasil ficou "abandonado" pela Coroa Portuguesa (focado no Oriente) após 1500, sendo explorado apenas por feitorias?","10 anos","30 anos","50 anos","100 anos",b
"BRASIL COLÔNIA I (CHEGADA E INÍCIO): Qual era o nome dado ao sistema de divisão da colônia em faixas de terra (em 1534) concedidas a nobres portugueses para que a colonização fosse feita com recursos privados?","Capitanias Hereditárias","Governos-Gerais","Sesmarias","Quilombos",a
"BRASIL COLÔNIA I (CHEGADA E INÍCIO): Quem foi o primeiro Governador-Geral do Brasil, enviado em 1549, que instalou a capital em Salvador e trouxe os primeiros jesuítas?","Martim Afonso de Sousa","Tomé de Sousa","Mem de Sá","Duarte Coelho",b
"BRASIL COLÔNIA II (CANA E ESCRAVIDÃO): Qual era o principal contexto econômico que impulsionou a colonização do Brasil e o uso de mão de obra escrava no século XVI?","A extração de ouro no interior.","A produção de tabaco para a Europa.","O ciclo da cana-de-açúcar.","O cultivo de café no Vale do Paraíba.",c
"BRASIL COLÔNIA II (CANA E ESCRAVIDÃO): Qual era o papel dos jesuítas no contexto da escravidão indígena?","Eram os maiores defensores e traficantes de escravos africanos.","Eram neutros e se recusavam a intervir.","Atuavam na catequese e defendiam o aprisionamento de indígenas apenas em 'guerras justas', mas eram ambíguos ou favoráveis à escravidão africana.","Eram contra toda forma de escravidão.",c
"BRASIL COLÔNIA II (CANA E ESCRAVIDÃO): Por que a escravidão de africanos se tornou o principal motor da economia colonial em detrimento da escravidão indígena?","Os africanos eram mais resistentes a doenças europeias.","A alta lucratividade do tráfico negreiro, que beneficiava a Coroa e os comerciantes.","O extermínio total da população indígena.","Os índios eram proibidos de trabalhar por lei desde o início.",b
"BRASIL COLÔNIA II (CANA E ESCRAVIDÃO): Qual a expressão usada para descrever o paradoxo dos jesuítas na Colônia, atuando na catequese e no conflito com bandeirantes?","Pelo bem da nação","Entre a cruz e a espada","Pelo amor de Cristo","Sob o jugo real",b
"BRASIL COLÔNIA II (CANA E ESCRAVIDÃO): O que eram os 'Quilombos' no Brasil Colonial?","Grandes fazendas de café no sul.","Feitorias portuguesas para troca de Pau-Brasil.","Comunidades de resistência formadas por escravos fugidos.","Postos de mineração fiscalizados pela Coroa.",c
"BRASIL COLÔNIA II (CANA E ESCRAVIDÃO): Quem foi Zumbi e qual comunidade ele liderou, sendo o principal símbolo da resistência negra à escravidão no Brasil Colônia?","Domingos Jorge Velho, líder bandeirante.","Chico Rei, líder em Minas Gerais.","Zumbi dos Palmares, líder do Quilombo dos Palmares.","Antônio Conselheiro, líder em Canudos.",c
"BRASIL COLÔNIA III (UNIÃO IBÉRICA E OURO): O que houve em 1580 que resultou na União Ibérica?","A expulsão definitiva dos jesuítas.","O trono português ficou vago e foi assumido por Filipe II da Espanha.","A descoberta das grandes jazidas de ouro em Minas Gerais.","A invasão francesa ao Rio de Janeiro.",b
"BRASIL COLÔNIA III (UNIÃO IBÉRICA E OURO): Qual o principal efeito da União Ibérica sobre o Tratado de Tordesilhas e os limites territoriais da colônia?","O tratado foi rigidamente respeitado pela Espanha.","O tratado perdeu a validade na prática, permitindo a expansão territorial para o oeste (bandeirismo).","O Brasil foi totalmente devolvido a Portugal.","O Brasil se tornou uma colônia da Holanda.",b
"BRASIL COLÔNIA III (UNIÃO IBÉRICA E OURO): Quem foi Maurício de Nassau?","O líder da expedição de Cabral.","Um bandeirante famoso pela captura de indígenas.","O administrador holandês que modernizou e embelezou a cidade de Recife (Pernambuco).","O primeiro vice-rei do Brasil.",c
