# TEMA: OS CINCO PRIMEIROS CONCÍLIOS ECUMÊNICOS DA IGREJA
# DESCRIÇÃO: Análise dos objetivos, heresias condenadas e principais acontecimentos dos Concílios de Niceia I (325), Constantinopla I (381), Éfeso (431), Calcedônia (451) e Constantinopla II (553).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"NICEIA I (325): Qual foi o primeiro Concílio Ecumênico da Igreja (em 325) e qual heresia ele foi convocado para combater?","Constantinopla I, contra o Macedonianismo","Éfeso, contra o Nestorianismo","Niceia I, contra o Arianismo","Calcedônia, contra o Monofisismo",c
"NICEIA I (325): O que significa a expressão 'Concílio Pré-Niceno'?","Refere-se a Concílios regionais posteriores a 325, mas menores.","Designa o período de 787 d.C. até 1054 d.C.","Refere-se aos Concílios e sínodos regionais realizados antes do Primeiro Concílio de Niceia em 325.","Nome dado à assembleia de Bispos após o Cisma do Oriente.",c
"NICEIA I (325): Qual o principal documento de fé que o Concílio de Niceia I promulgou para afirmar a divindade de Cristo e condenar a heresia?","O Credo Apostólico","O Cânon Bíblico","O Credo Niceno (em sua primeira versão)","O Tomus de Leão",c
"NICEIA I (325): Qual a principal doutrina defendida pelo sacerdote Ário que foi condenada no Concílio de Niceia I?","Que Maria não era a Mãe de Deus (Theotokos)","Que o Espírito Santo não era divino","Que o Filho (Jesus) não era eterno e foi criado pelo Pai, sendo de substância 'semelhante' (homoiousios) a Ele.","Que Cristo tinha apenas uma natureza (divina).",c
"NICEIA I (325): Qual imperador romano convocou e presidiu o Primeiro Concílio de Niceia, marcando a primeira grande intervenção imperial nos assuntos da Igreja?","Imperador Teodósio I","Imperador Constantino","Imperador Justiniano I","Imperador Diocleciano",b
"CONSTANTINOPLA I (381): Qual o Segundo Concílio Ecumênico e qual a heresia que ele condenou a respeito da natureza do Espírito Santo?","Calcedônia, contra o Nestorianismo","Constantinopla I, contra o Macedonianismo (ou Pneumatomacianismo)","Éfeso, contra o Arianismo","Niceia I, contra o Apolinarianismo",b
"CONSTANTINOPLA I (381): Qual importante adição o Concílio de Constantinopla I fez ao Credo de Niceia (325)?","A afirmação da Trindade completa (Deus Pai, Filho e Espírito Santo), detalhando a divindade do Espírito Santo.","A declaração da Imaculada Conceição de Maria.","A condenação final do Judaísmo.","A definição do número de sacramentos.",a
"CONSTANTINOPLA I (381): Qual cânone do Concílio de Constantinopla I criou tensão futura ao conferir primazia de honra a Constantinopla, logo após Roma?","O Cânone I","O Cânone II","O Cânone III","O Cânone IV",c
"CONSTANTINOPLA I (381): Por que a decisão do Concílio de Constantinopla I sobre a primazia de honra criou tensão entre Roma e Alexandria?","Porque Alexandria acreditava ter direito à segunda honra, por ter sido fundada por São Marcos.","Porque Roma negava a divindade do Espírito Santo.","Porque Constantinopla era considerada um centro de heresia.","Porque Roma e Alexandria já haviam rompido antes de 381.",a
"CONSTANTINOPLA I (381): Em qual contexto político-religioso ocorreu o Segundo Concílio, sendo ele convocado pelo Imperador Teodósio I?","Durante a perseguição de Diocleciano.","Após o fim do Édito de Milão.","No contexto da afirmação do Cristianismo Niceno como religião de Estado do Império Romano.","Após a queda definitiva do Império Romano Ocidental.",c
"ÉFESO (431): Qual foi o Terceiro Concílio Ecumênico e qual o principal conflito ocorrido sobre a pessoa de Cristo e o título da Virgem Maria?","Calcedônia, sobre a natureza de Cristo.","Constantinopla II, sobre os Três Capítulos.","Niceia II, sobre a iconoclastia.","Éfeso, contra o Nestorianismo sobre o título Theotokos (Mãe de Deus).",d
"ÉFESO (431): Qual era a doutrina de Nestório (Patriarca de Constantinopla) condenada no Concílio de Éfeso?","A negação da divindade de Cristo.","A afirmação de que em Cristo havia duas pessoas distintas (uma humana e uma divina).","A afirmação de que Cristo tinha apenas uma natureza (Monofisismo).","A negação do livre arbítrio.",b
"ÉFESO (431): Qual título cristológico para a Virgem Maria foi solenemente confirmado pelo Concílio de Éfeso em resposta a Nestório?","Imaculada Conceição","Assunta ao Céu","Virgem Perpétua","Theotokos (Mãe de Deus)",d
"ÉFESO (431): O Concílio de Éfeso é conhecido pela participação de qual grande figura e defensor da ortodoxia, Patriarca de Alexandria?","São Gregório de Nazianzo","São Cirilo de Alexandria","Santo Atanásio","São João Crisóstomo",b
"ÉFESO (431): Qual acontecimento tenso marcou o início do Concílio de Éfeso?","O atraso da delegação romana, que levou a delegação Alexandrina a iniciar o concílio.","A chegada tardia da delegação antioquena, que se reuniu separadamente e tentou anular as decisões.","A invasão dos godos à cidade de Éfeso.","A recusa do Imperador em convocar o concílio.",b
"CALCEDÔNIA (451): Qual o Quarto Concílio Ecumênico e qual a heresia que ele condenou a respeito da natureza de Cristo?","Constantinopla I, contra o Macedonianismo.","Éfeso, contra o Nestorianismo.","Calcedônia, contra o Monofisismo (Eutiques).","Niceia II, contra a iconoclastia.",c
"CALCEDÔNIA (451): Qual documento fundamental do Papa Leão I foi lido no Concílio de Calcedônia e aceito como a definição doutrinária que resolvia a controvérsia cristológica?","O Cânone de Muratori","A Carta de Clemente","O Tomus de Leão (ou Epístola a Flaviano)","A Didaché",c
"CALCEDÔNIA (451): Qual a principal doutrina cristológica afirmada pelo Concílio de Calcedônia?","Que Cristo era de substância semelhante ao Pai.","Que Cristo possuía uma única vontade (Monotelismo).","Que Cristo existia em duas naturezas (humana e divina) em uma só Pessoa (Hipóstase), 'sem confusão, sem mudança, sem divisão, sem separação'.","Que Maria era apenas a Mãe da natureza humana de Jesus.",c
"CALCEDÔNIA (451): Qual o principal conflito ocorrido no Concílio de Calcedônia que levou ao cisma das Igrejas Orientais Ortodoxas (Não-Calcedonianas)?","A condenação de São Cirilo de Alexandria.","A rejeição total do Credo Niceno.","A recusa de algumas Igrejas Orientais (Coptas, Sírias) em aceitar a definição de duas naturezas de Cristo.","A exigência de que o Papa se submetesse ao Patriarca de Constantinopla.",c
"CALCEDÔNIA (451): Qual cânone, repetindo a decisão de 381, o Concílio de Calcedônia tentou reafirmar, gerando forte oposição do Papa Leão I?","O cânone que estabelecia a primazia de honra de Roma sobre todas as sés.","O cânone que condenava a usura.","O Cânone 28, que conferia a Constantinopla os mesmos privilégios e honras de Roma.","O cânone que obrigava os monges a se submeterem aos bispos locais.",c
"CONSTANTINOPLA II (553): Qual o Quinto Concílio Ecumênico e qual o principal objetivo de sua convocação pelo Imperador Justiniano I?","Éfeso, para condenar o Semi-Arianismo.","Niceia II, para restaurar o culto às imagens.","Constantinopla II, para resolver as tensões remanescentes do Monofisismo e condenar os 'Três Capítulos'.","Constantinopla IV, para depor o Patriarca Fócio.",c
"CONSTANTINOPLA II (553): Qual era o principal conflito doutrinário que o Concílio de Constantinopla II tentou resolver?","A controvérsia sobre o *Filioque* no Credo.","O cisma causado pelos Monofisitas, tentando atraí-los de volta.","O debate sobre a natureza das indulgências.","A questão da sucessão papal.",b
"CONSTANTINOPLA II (553): O que eram os 'Três Capítulos' condenados neste Concílio?","Três patriarcas que se opunham ao Imperador.","Três heresias menores que se espalharam no Ocidente.","Escritos de três teólogos nestorianos que eram vistos como um obstáculo à reconciliação com os monofisitas moderados.","Três documentos papais que foram rejeitados pela Igreja do Oriente.",c
"CONSTANTINOPLA II (553): Por que o Imperador Justiniano I convocou o Concílio de 553, mesmo após a condenação do Monofisismo em Calcedônia?","Para reafirmar a independência da Igreja perante o Estado.","Para tentar, através de uma política de concessões, apaziguar as províncias monofisitas (Síria e Egito) e reunificá-las ao Império.","Para condenar a autoridade do Papa.","Para mudar o local da Sé Papal para Constantinopla.",b
"CONSTANTINOPLA II (553): Qual acontecimento notável demonstra a pressão imperial neste Concílio?","A deposição do Papa Vigílio e sua prisão por se recusar inicialmente a assinar a condenação dos Três Capítulos.","A expulsão de todos os bispos orientais que se opuseram ao Imperador.","A total ausência de representação papal.","O abandono do Credo de Niceia.",a
