# TEMA: História do Brasil - Debates e Verdades
# DESCRIÇÃO: Uma análise crítica de mitos, narrativas e personagens da história do Brasil.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"Qual corrente historiográfica interpreta o Brasil Colônia como uma engrenagem do capitalismo mercantilista europeu?","Antigo Regime nos Trópicos","Antigo Sistema Colonial","Escola dos Annales","Positivismo Histórico",b
"A corrente do 'Antigo Regime nos Trópicos' foca em qual aspecto da colônia?","A influência da Coroa","A catequese jesuítica","A dinâmica interna da sociedade e o abastecimento local","As revoltas populares contra Portugal",c
"Qual era o nome das expedições que capturavam indígenas no interior do território?","Entradas e Bandeiras","Missões ou Reduções","Guerras Justas","Capitanias Hereditárias",a
"Qual foi a principal razão para a substituição da escravidão indígena pela africana?","Razões humanitárias","A proibição total pelos jesuítas","A alta lucratividade do tráfico negreiro","A falta de adaptação dos indígenas",c
"O conflito mais notável pela escravização indígena opôs os bandeirantes a qual grupo?","Franciscanos","Jesuítas","Benedictinos","Dominicanos",b
"No contexto da colonização, o que a expressão 'entre a cruz e a espada' representa?","Uma batalha específica","A Revolta da Armada","A aliança entre a Igreja e a Coroa Portuguesa","Uma tradição cultural",c
"Qual era a posição do Padre Antônio Vieira sobre a escravidão?","Defendia a abolição imediata","Era indiferente ao sofrimento dos escravos","Denunciava maus-tratos mas não propunha a abolição","Apoiava a escravidão sem restrições",c
"Qual é um dos principais pontos positivos do Segundo Reinado?","A ampla participação popular","A descentralização do poder","A longa estabilidade política e unidade nacional","A resolução da questão da terra",c
"A queda do Império em 1889 foi resultado da perda de apoio de quais três elites?","Igreja, Exército e proprietários rurais","Industriais, comerciantes e imigrantes","Intelectuais, estudantes e população urbana","Pequenos agricultores e escravos libertos",a
"Qual foi a principal ferramenta de Getúlio Vargas para ganhar apoio popular?","A criação de múltiplos partidos","A reforma agrária","A concessão de direitos trabalhistas como a CLT","A liberdade total de imprensa",c
"Como foi chamado o movimento popular que pedia a permanência de Vargas no poder?","Integralismo","Tenentismo","Estado Novo","Queremismo",d
"Qual a principal contradição do Varguismo apontada no documento?","Conceder direitos aos trabalhadores para, na verdade, controlá-los","Promover a indústria nacional enquanto importava","Defender a neutralidade na guerra mas apoiar os Aliados","Ser um governo autoritário eleito democraticamente",a
