# TEMA: OS CINCO PRIMEIROS SÉCULOS DA HISTÓRIA DA IGREJA (33 - 476 d.C.)
# DESCRIÇÃO: Análise da Igreja Primitiva, Perseguições, Concílios Doutrinários, Padres da Igreja, Heresias e o declínio do Império Romano Ocidental.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"SÉCULO I (33 - 100 d.C.): Qual é o período que define a Igreja Primitiva, ou Apostólica, e o que marcou seu fim?","Da Ascensão de Cristo até a Perseguição de Diocleciano.","Do ano 33 d.C. até a morte do último apóstolo, São João Evangelista (c. 100 d.C.).","Da pregação de São Paulo até o Concílio de Niceia.","Da Destruição de Jerusalém até o Édito de Milão.",b
"SÉCULO I (33 - 100 d.C.): Qual é a ordem de criação ou redação dos quatro Evangelhos, segundo a maioria dos estudos modernos?","Mateus, Marcos, Lucas e João","Marcos (o mais antigo), seguido por Mateus, Lucas e João.","João (o mais antigo), seguido por Lucas, Mateus e Marcos.","Lucas, Mateus, Marcos e João.",b
"SÉCULO I (33 - 100 d.C.): Como foi a morte dos Apóstolos Pedro e Paulo, segundo a tradição da Igreja?","Ambos morreram de causas naturais em Roma.","Pedro foi crucificado (de cabeça para baixo) e Paulo decapitado, ambos em Roma sob Nero.","Ambos foram martirizados em Jerusalém durante a revolta judaica.","Pedro foi decapitado e Paulo crucificado.",b
"SÉCULO I (33 - 100 d.C.): Qual acontecimento, em 70 d.C., marcou a completa destruição do Templo e o fim da era apostólica judaico-cristã em Jerusalém?","O Saque de Roma pelos Visigodos.","A Grande Perseguição de Nero.","A Destruição de Jerusalém pelos exércitos romanos sob Tito.","O Concílio de Jerusalém.",c
"SÉCULO I (33 - 100 d.C.): Como era a estrutura eclesiástica da Igreja antes da morte do último apóstolo (c. 100 d.C.)?","Totalmente centralizada no Bispo de Roma.","Era guiada pelos Apóstolos e, em suas comunidades locais, por Bispos (supervisores) e Diáconos.","Era dominada por presbíteros, sem a figura do bispo.","Era organizada em monastérios no deserto.",b
"SÉCULO II: Com a morte do último apóstolo (São João), qual novo desafio central a Igreja precisou enfrentar no século II?","A invasão dos povos bárbaros.","A necessidade de estruturar a sucessão apostólica e refutar as primeiras grandes heresias (Gnosticismo).","O fim das perseguições imperiais.","O estabelecimento da Inquisição Medieval.",b
"SÉCULO II: Quem foram alguns dos primeiros Padres Apologistas do século II, conhecidos por defender a fé cristã perante o Império Romano?","São Francisco de Assis e São Domingos.","Santo Agostinho e São Jerônimo.","Santo Inácio de Antioquia e São Justino Mártir.","Tertuliano e Orígenes.",c
"SÉCULO II: O que era o Gnosticismo, a principal heresia combatida no século II?","A negação da divindade do Espírito Santo.","A crença em um conhecimento (gnosis) secreto e superior que salvas a alma (espírito) e condena a matéria (corpo).","A doutrina que negava a Trindade.","A crença de que Jesus era apenas um homem adotado por Deus.",b
"SÉCULO II: Qual era o principal argumento dos Padres da Igreja, como Santo Irineu de Lyon, para refutar o Gnosticismo?","A força do Exército Romano.","A 'Regra de Fé' (Regula Fidei), que era o ensinamento consistente e público transmitido pelos Apóstolos através da sucessão de Bispos.","A leitura pessoal e subjetiva da Bíblia.","O uso exclusivo da filosofia grega.",b
"SÉCULO II: Qual foi o efeito principal das heresias no século II?","O enfraquecimento total da Igreja.","O desenvolvimento da doutrina ortodoxa da Igreja em resposta aos desafios heréticos.","A conversão em massa dos pagãos.","A ascensão do Monacato.",b
"SÉCULO III: Como a base legal do Império Romano considerava o Cristianismo?","Uma religião permitida e oficial (Religio Licita).","Uma seita judaica protegida.","Uma 'superstição ilícita', o que servia de base para a perseguição em tempos de crise.","Uma filosofia grega inofensiva.",c
"SÉCULO III: Qual foi a resposta intelectual da Igreja às perseguições imperiais, que produziu grandes teólogos como Tertuliano e Orígenes?","A submissão total ao Imperador.","O desenvolvimento da Apologética e da Escola Catequética de Alexandria.","A organização de uma rebelião armada.","A adoção do Arianismo.",b
"SÉCULO III: Quem eram os 'Lapsi' após as perseguições, como a de Décio?","Os Bispos que se recusaram a cooperar com Roma.","Os cristãos que haviam 'caído' ou apostatado da fé, sacrificando aos deuses romanos sob a ameaça da perseguição.","Os cristãos que haviam matado um herege.","Os pagãos que haviam se convertido à força.",b
"SÉCULO III: Quem foi Novaciano e o que ele defendia em Roma, causando um cisma na Igreja?","Ele defendia a tradução da Bíblia para o latim.","Ele defendia que os *Lapsi* (caídos) não poderiam ser readmitidos na Igreja, negando o poder da Igreja de perdoá-los.","Ele defendia o uso de imagens no culto.","Ele defendia a divindade do Espírito Santo.",b
"SÉCULO III: Por que a perseguição de Décio e Valeriano (meados do século III) foi particularmente perigosa para a Igreja?","Porque era focada em apenas algumas cidades.","Porque pela primeira vez o Estado Romano visou o extermínio sistemático da liderança (bispos) e forçou o sacrifício público de todos os cristãos.","Porque foi confinada à África do Norte.","Porque foi a última perseguição antes de Constantino.",b
"SÉCULO IV (CONSTANTINIANO): Qual foi a perseguição mais violenta e sistemática sofrida pela Igreja, ocorrida no início do século IV?","A Perseguição de Nero","A Perseguição de Décio","A Perseguição de Diocleciano","A Perseguição de Domiciano",c
"SÉCULO IV (CONSTANTINIANO): Qual documento, em 313 d.C., legalizou o Cristianismo e permitiu o seu culto livre dentro do Império Romano?","O Édito de Tessalônica","O Édito de Milão","O Credo Niceno","O Cânone Muratoriano",b
"SÉCULO IV (CONSTANTINIANO): Qual heresia, que negava a plena divindade de Jesus Cristo, foi o principal tema do Primeiro Concílio de Niceia?","O Nestorianismo","O Monofisismo","O Pelagianismo","O Arianismo",d
"SÉCULO IV (CONSTANTINIANO): O que marcou o fim do século IV em termos de política religiosa imperial?","A volta ao Paganismo.","O Édito de Tessalônica (380 d.C.), que tornou o Cristianismo (Credo Niceno) a religião de Estado do Império.","O início da Perseguição de Décio.","O Saque de Roma.",b
"SÉCULO IV (CONSTANTINIANO): Quem foi Santo Antão (ou Antão do Deserto) e qual o movimento que ele ajudou a ascender no século IV?","Um grande teólogo do Ocidente.","O primeiro Papa.","O fundador do Monacato no Egito, o movimento de ascetismo e vida no deserto.","O imperador que convocou o Concílio de Niceia.",c
"SÉCULO V (OCIDENTE): Qual foi a principal obra de São Agostinho, escrita em resposta ao Saque de Roma pelos Visigodos (410 d.C.)?","Confissões","A Imitação de Cristo","A Cidade de Deus (De Civitate Dei)","A Suma Teológica",c
"SÉCULO V (OCIDENTE): Qual era o objetivo principal de São Jerônimo ao escrever a 'Vulgata'?","Criticar o Imperador de Roma.","Traduzir a Bíblia para o latim comum da época, a partir das fontes originais (Hebraico e Grego), para uso da Igreja.","Defender a heresia ariana.","Compor hinos de louvor.",b
"SÉCULO V (OCIDENTE): Qual evento, em 476 d.C., é tradicionalmente aceito como o marco do fim do Império Romano do Ocidente?","A coroação de Carlos Magno.","A deposição do último imperador romano do Ocidente, Rômulo Augústulo, por Odoacro.","A Conquista de Jerusalém.","O Grande Cisma do Oriente.",b
"SÉCULO V (OCIDENTE): Qual figura do século V foi fundamental para a consolidação da primazia papal e negociou a paz com os Hunos de Átila?","São Cirilo de Alexandria.","Santo Agostinho de Hipona.","Papa Leão I (Leão, o Grande).","São Patrício.",c
