# TEMA: DA CÁTEDRA DE PEDRO AO TRONO DE OTÃO: HISTÓRIA DA IGREJA (SÉCULOS VI AO X)
# DESCRIÇÃO: Transformação da Igreja de instituição romana sob Bizâncio para potência soberana no Ocidente, marcada por expansão missionária e crises políticas (Cesaropapismo, Idade de Ferro e Cluny).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"SÉCULO VI (CONSOLIDAÇÃO E DOUTRINA): Com o colapso gradual das estruturas administrativas romanas no Ocidente, qual instituição emergiu como a única entidade estável, preenchendo o vácuo de poder?","O Império Bizantino","A Cátedra de Pedro (Papado)","O Reino Franco","O Reino dos Lombardos",b
"SÉCULO VI (CONSOLIDAÇÃO E DOUTRINA): Qual era a base material da ascensão política e administrativa do Papado, que se referia às suas vastas possessões fundiárias e rendas?","O Domínio de Roma","A Doação de Constantino","O Patrimônio de São Pedro","A Regra Beneditina",c
"SÉCULO VI (CONSOLIDAÇÃO E DOUTRINA): O monge Dionísio Exíguo determinou o 'Anno Domini' com qual propósito, entre outros?","Manter a memória do Imperador Constantino.","Substituir a 'Era de Diocleciano', afirmando a Encarnação como novo centro da história universal.","Alinhar o calendário ocidental ao de Bizâncio.","Reformar o sistema de peso e medida.",b
"SÉCULO VI (CONSOLIDAÇÃO E DOUTRINA): Qual Imperador Bizantino exerceu intenso cesaropapismo, impondo a condenação dos 'Três Capítulos' ao Papa Vigílio?","Imperador Constantino","Imperador Leão III","Imperador Justiniano I","Imperador Carlos Magno",c
"SÉCULO VI (CONSOLIDAÇÃO E DOUTRINA): O Pontificado de qual Papa é reconhecido como o arquiteto do Papado medieval, notável por sua administração civil e pelo endosso da *Vida de S. Bento*?","Papa Vigílio","Papa Martinho I","Papa Gregório I, o Grande","Papa Leão III",c
"SÉCULO VI (CONSOLIDAÇÃO E DOUTRINA): A imposição dos Três Capítulos por Justiniano causou cismas prolongados em vastas porções do Ocidente (norte da Itália e África), que viram o ato como uma 'traição' a qual Concílio?","Concílio de Niceia I","Concílio de Constantinopla I","Concílio de Calcedônia","Concílio de Éfeso",c
"EXPANSÃO MISSIONÁRIA (SÉCULOS VI E VII): Qual modelo de vida, regido pelo lema *Ora et Labora*, se estabeleceu como a principal força civilizadora e guardiã do conhecimento na Alta Idade Média?","O Modelo Episcopal Urbano","O Monacato Celta","O Monacato Beneditino","A Ordem Franciscana",c
"EXPANSÃO MISSIONÁRIA (SÉCULOS VI E VII): Qual foi a importância capital da conversão de Clóvis, rei dos Francos, ao catolicismo romano?","Isso marcou o fim do Império Romano.","Transformou o reino franco no 'primeiro Estado germânico sob influência papal', garantindo um aliado crucial no continente.","Levou à fundação dos Estados Pontifícios.","Iniciou a Crise Iconoclasta.",b
"EXPANSÃO MISSIONÁRIA (SÉCULOS VI E VII): Quem foi o apóstolo enviado pelo Papa Gregório Magno para iniciar a evangelização da Inglaterra, levando consigo a tradição beneditina?","São Máximo, o Confessor","São Columbano","Santo Agostinho de Cantuária","São Patrício",c
"EXPANSÃO MISSIONÁRIA (SÉCULOS VI E VII): A qual modelo monástico, conhecido por sua austeridade e rigor, o Missionário Irlandês São Columbano (século VII) contribuiu para a difusão no continente europeu?","O Monacato Beneditino","O Monacato Celta (Irlandês)","O Monacato Bizantino","O Monacato Franciscano",b
"EXPANSÃO MISSIONÁRIA (SÉCULOS VI E VII): Por que a Regra de São Bento se expandiu rapidamente no Ocidente fragmentado?","Devido à sua complexidade teológica.","Pelo seu equilíbrio prático e sua capacidade de fornecer um modelo social estável e autossuficiente (*autarcia absoluta*).","Porque era exigida por Justiniano I.","Porque proibia completamente a interferência episcopal.",b
"EXPANSÃO MISSIONÁRIA (SÉCULOS VI E VII): O sucesso da evangelização da Inglaterra garantiu a fidelidade de um novo centro de fé romana, que, por sua vez, enviaria monges anglo-saxões para a evangelização de qual região nos séculos subsequentes?","A Península Ibérica","A Germânia","O Norte da África","O Império Bizantino",b
"CONFRONTO E PIVÔ PARA O OCIDENTE (SÉCULOS VII E VIII): Qual evento no século VII levou à perda dos Patriarcados históricos de Alexandria, Antioquia e Jerusalém para a Cristandade?","A Crise Iconoclasta.","O Surgimento e a espetacular Expansão do Islã.","O Cisma de Fócio.","A Controvérsia dos Três Capítulos.",b
"CONFRONTO E PIVÔ PARA O OCIDENTE (SÉCULOS VII E VIII): Qual heresia, imposta pelo Imperador Constante II, defendia a existência de uma única vontade em Cristo?","O Nestorianismo","O Monofisismo","O Monotelismo","O Arianismo",c
"CONFRONTO E PIVÔ PARA O OCIDENTE (SÉCULOS VII E VIII): O Papa Martinho I rejeitou o Monotelismo, resultando em quê?","Sua ascensão ao Sacro Império.","Sua canonização imediata.","Sua prisão, exílio e morte como mártir na Crimeia.","Sua vitória sobre o Imperador Bizantino.",c
"CONFRONTO E PIVÔ PARA O OCIDENTE (SÉCULOS VII E VIII): Qual crise, iniciada pelo Imperador Leão III, proibiu a veneração de ícones, sendo o catalisador final da separação cultural entre Leste e Oeste?","O Cisma de Fócio","O Monotelismo","A Crise Iconoclasta","A Controvérsia dos Três Capítulos",c
"CONFRONTO E PIVÔ PARA O OCIDENTE (SÉCULOS VII E VIII): Qual evento militar demonstrou a vulnerabilidade extrema da Península Itálica e a incapacidade de Bizâncio em protegê-la, tornando imperativa a busca por proteção local e forte?","A invasão dos Lombardos.","O raide árabe (sarraceno) contra Roma em 846 d.C. e o saque das basílicas.","A conquista de Constantinopla.","A Guerra do Peloponeso.",b
"CONFRONTO E PIVÔ PARA O OCIDENTE (SÉCULOS VII E VIII): Qual Concílio Ecumênico de 787 d.C. condenou o Iconoclasmo e restabeleceu a veneração de ícones?","Concílio de Niceia I","Concílio de Calcedônia","Segundo Concílio de Niceia (Niceia II)","Concílio de Constantinopla IV",c
"ALIANÇA FRANCO-PAPAL (SÉCULOS VIII E IX): Qual foi o ato de Pepino, o Breve (754 d.C.), que estabeleceu o 'Patrimônio de São Pedro' como um território civil, fundando os Estados da Igreja?","O Sínodo do Cadáver","A Coroação de Carlos Magno","A Doação de Pepino","A Regra de São Bento",c
"ALIANÇA FRANCO-PAPAL (SÉCULOS VIII E IX): Qual documento falsificado alegava que Constantino havia conferido ao Papado a supremacia e o domínio temporal sobre o Ocidente, sendo usado para sustentar as reivindicações papais?","O *Tomus de Leão*","A *Doação de Constantino (Donatio Constantini)*","O *Credo Niceno*","O *Cânon Muratoriano*",b
"ALIANÇA FRANCO-PAPAL (SÉCULOS VIII E IX): O que a coroação de Carlos Magno como Imperador Romano pelo Papa Leão III (800 d.C.) representou?","A total subordinação do Papado ao novo Império.","A transferência da autoridade papal para o Oriente.","A *Translatio Imperii* (transferência da autoridade imperial) de volta para o Ocidente, sancionada pela Cátedra de Pedro.","O fim dos Estados Pontifícios.",c
"ALIANÇA FRANCO-PAPAL (SÉCULOS VIII E IX): O precedente estabelecido pela coroação de Carlos Magno criou qual tensão duradoura na Idade Média?","A tensão entre a Igreja e o monacato.","A tensão entre o poder sacerdotal (*sacerdotium*) e o poder imperial (*imperium*).","A tensão entre o Arianismo e a Ortodoxia.","A tensão entre a Igreja e o Islã.",b
"ALIANÇA FRANCO-PAPAL (SÉCULOS VIII E IX): Qual a principal contribuição de Luís, o Pio (filho de Carlos Magno), para o monacato?","Ele permitiu que cada mosteiro escolhesse sua própria regra.","Ele providenciou a extensão do uso da Regra Beneditina como a única admitida em todos os mosteiros do Império.","Ele proibiu o monacato em seu império.","Ele fundou a Abadia de Cluny.",b
"ALIANÇA FRANCO-PAPAL (SÉCULOS VIII E IX): Qual foi a consequência imediata da morte de Luís, o Pio (840 d.C.), para o Império Carolíngio e o Papado?","A unificação da Europa sob um único imperador.","A fragmentação do Império e um profundo vácuo de poder que expôs o Papado à anarquia local.","O fim das invasões bárbaras.","O início da Grande Reforma Gregoriana.",b
"CRISE E REFORMA (SÉCULOS IX E X): Qual Papa, conhecido como 'Nicolau Magno', defendeu fervorosamente a superioridade da Sé de Roma e sua autonomia perante todos os poderes temporais no século IX?","Papa Leão III","Papa Estêvão VI","Papa São Nicolau I","Papa Gregório V",c
