# TEMA: O TRIBUNAL DO SANTO OFÍCIO: AS INQUISIÇÕES
# DESCRIÇÃO: Análise dos tipos de Inquisição (Medieval, Espanhola, Portuguesa e Romana), seus objetivos, métodos, relação com judeus, a Caça às Bruxas e o contexto histórico.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"CONCEITOS E OBJETIVOS: Qual é o significado institucional da Inquisição?","Um movimento de cruzada militar contra infiéis no Oriente Médio.","Um tribunal eclesiástico criado para combater heresias e manter a ortodoxia religiosa.","Um órgão de censura estatal focado em literatura e ciência.","Uma corte de justiça civil para julgar crimes contra a monarquia.",b
"CONCEITOS E OBJETIVOS: Qual era o objetivo principal das Inquisições Medievais criadas no século XII e XIII?","Reafirmar a autoridade papal, investigando desvios da fé e aplicando penas.","Obter lucros com o confisco de bens de nobres endividados.","Coordenar a expulsão de mouros e judeus da Península Ibérica.","Julgar crimes de assassinato e roubo no âmbito da justiça comum.",a
"CONCEITOS E OBJETIVOS: O que eram 'heresias', o crime central combatido pelas Inquisições?","Qualquer crime cometido contra a propriedade privada.","Práticas religiosas dos judeus recém-convertidos.","Doutrinas ou práticas contrárias aos dogmas da Igreja Católica.","A prática de magia e feitiçaria.",c
"CONCEITOS E OBJETIVOS: Como o conceito de 'anacronismo' se aplica à análise da Inquisição?","Refere-se à longevidade dos tribunais do Santo Ofício.","É um erro comum de julgar a Inquisição com base nos valores jurídicos e morais atuais.","Designa o período de maior violência do tribunal, conhecido como 'Terror'.","Descreve a falta de sucesso dos inquisidores em algumas regiões.",b
"CONCEITOS E OBJETIVOS: Como os hereges eram tratados antes da instauração formal dos tribunais da Inquisição?","Eram julgados exclusivamente pela Igreja e perdoados após confissão.","Eram ignorados, pois não representavam uma ameaça à ordem social.","A opinião pública e as autoridades civis frequentemente exigiam castigos severos e os puniam.",c
"INQUISIÇÃO MEDIEVAL: Qual Papa instituiu a figura do Inquisidor para investigar desvios da fé, especialmente contra os cátaros, no Concílio de Latrão em 1139?","Papa Gregório IX","Papa Inocêncio II","Papa Lúcio III","Papa João XXII",b
"INQUISIÇÃO MEDIEVAL: Qual das seguintes ações era uma característica do processo inquisitorial medieval?","O acusado era considerado culpado até que se provasse a sua inocência.","O 'tempo da graça' era concedido aos acusados para que se arrependessem e se confessassem.","Os castigos mais severos eram aplicados na primeira condenação, sem possibilidade de recurso.","A figura do inquisidor não podia investigar ativamente os hereges, apenas julgá-los.",b
"INQUISIÇÃO MEDIEVAL: Quais eram as penas mais comuns ministradas nos casos menos graves?","A morte na fogueira em autos-de-fé públicos.","Penitências, peregrinações e o uso do infamante sambenito (hábito estigmatizante).","Mutilação e confisco imediato de todos os bens.","Exílio para colônias ultramarinas.",b
"INQUISIÇÃO MEDIEVAL: Qual era o destino dos hereges 'relapsos' (reincidentes) nos casos mais extremos de condenação?","Eram enviados para a Inquisição Romana para um novo julgamento.","Eram obrigados a fazer uma peregrinação de um ano.","Eram entregues ao 'braço secular' (autoridades civis) para a execução da pena de morte.","Eram perdoados, mas tinham seus bens confiscados pela Igreja.",c
"INQUISIÇÃO MEDIEVAL: Qual importante heresia medieval, que considerava tudo o que envolvia a matéria como impuro (incluindo rituais de vassalagem), foi o alvo principal da primeira batalha da Inquisição?","O Arianismo","O Monofisismo","O Cisma do Oriente","A Heresia Cátara (Albigenses)",d
"INQUISIÇÕES IBÉRICAS: Qual era o principal objetivo da Inquisição Espanhola (criada em 1480), além de combater a heresia?","Combater a expansão do protestantismo na Europa.","Controlar os elementos dissidentes, especialmente os recém-convertidos (mouros e cristãos-novos) de origem judaica.","Instalar tribunais no Novo Mundo para julgar a população indígena.","Unificar o direito penal eclesiástico em todos os reinos de Castela e Aragão.",b
"INQUISIÇÕES IBÉRICAS: Qual foi o principal alvo da Inquisição Portuguesa (criada em 1536) em seu início?","Os praticantes de feitiçaria e sodomia.","Os cristãos-novos (ou criptojudeus) acusados de práticas judaizantes.","Os membros do alto clero envolvidos em corrupção.","Os protestantes vindos da Inglaterra.",b
"INQUISIÇÕES IBÉRICAS: Qual era o papel do controle estatal na Inquisição Espanhola e Portuguesa (Modernas)?","O Papa mantinha controle total, sem interferência dos monarcas.","As Inquisições funcionavam como instituições puramente eclesiásticas, sem fins políticos.","As monarquias ibéricas tiveram forte controle, sendo instituições político-religiosas que serviam também aos interesses da Coroa.","Os tribunais eram totalmente independentes da jurisdição civil e eclesiástica.",c
"INQUISIÇÕES IBÉRICAS: Qual dos seguintes fatos é verdadeiro em relação à Inquisição no Brasil Colônia?","O Brasil sediou tribunais permanentes do Santo Ofício em Salvador e Rio de Janeiro.","Não houve nenhuma manifestação da Inquisição no território colonial.","Emissários da Inquisição Portuguesa (visitadores) vieram à colônia para investigar e processar acusados, mas sem instalar um tribunal permanente.","O Brasil recebeu a Inquisição Espanhola trazida por Cristóvão Colombo.",c
"INQUISIÇÕES IBÉRICAS: Qual era a principal motivação da hostilidade contra os judeus que antecedeu a Inquisição Espanhola e serviu como 'escusa para fins' maiores?","O fator social, devido ao baixo status dos judeus na sociedade.","O fator econômico, devido às atividades financeiras e percepção de riqueza dos judeus.","O fator militar, pela ameaça de aliança judaico-moura.","O fator político, pela recusa em jurar lealdade aos Reis Católicos.",b
"CONTEXTO MODERNO E RELAÇÃO COM JUDEUS: O que foi a Inquisição Romana (ou Santo Ofício), fundada em 1542?","Um tribunal que só atuou no sul da Itália e em Portugal.","Uma reestruturação do antigo tribunal medieval, com o objetivo de combater a expansão das ideias protestantes.","O tribunal que promoveu a Caça às Bruxas na Inglaterra e na Alemanha.","Um órgão de conciliação entre a Igreja e os hereges protestantes.",b
"CONTEXTO MODERNO E RELAÇÃO COM JUDEUS: O que diferencia o Holocausto da Inquisição em termos de natureza e objetivo?","A Inquisição era um tribunal civil, e o Holocausto foi um evento religioso.","A Inquisição tinha como objetivo a 'conversão' (ortodoxia), enquanto o Holocausto foi um genocídio de base racial-ideológica.","O Holocausto foi um evento da Idade Média, e a Inquisição é um fenômeno moderno.","Ambos tinham como objetivo a eliminação total de judeus de base puramente racial.",b
