# TEMA: AS GRANDES ORIGENS DAS CIVILIZAÇÕES: UMA ANÁLISE EVOLUTIVA E INSTITUCIONAL
# DESCRIÇÃO: Quiz sobre os marcos cruciais da evolução humana (Paleolítico), Revolução Neolítica, Idade dos Metais e as estruturas fundacionais da Mesopotâmia, Egito, Hebreus, Persas e China.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"HOMINIZAÇÃO E PALEOLÍTICO: Qual espécie de *Homo*, cujo nome significa 'homem habilidoso', é tradicionalmente associada às primeiras ferramentas de pedra lascada (complexo Olduvaiense)?","Homo erectus","Homo neanderthalensis","Homo sapiens","Homo habilis",d
"HOMINIZAÇÃO E PALEOLÍTICO: O complexo industrial Olduvaiense, associado ao *H. habilis*, é significativo porque demonstrou qual fator como o motor seletivo dominante para a sobrevivência?","A força biológica e robustez física.","A invenção da tecnologia e o desenvolvimento cultural, suplantando a força biológica.","A adaptação a alimentos duros.","A capacidade de migrar para fora da África.",b
"HOMINIZAÇÃO E PALEOLÍTICO: O *Homo erectus* é conhecido por ser a primeira espécie a migrar para fora da África e está associado ao domínio sistemático de qual inovação crucial?","A invenção da escrita.","O controle sistemático do uso do fogo.","A construção de zigorates.","A domesticação de animais.",b
"HOMINIZAÇÃO E PALEOLÍTICO: Qual complexo industrial do *H. erectus* se distingue pelo biface, exibindo simetria e padronização, indicando um planejamento cognitivo mais avançado?","O Olduvaiense","O Musteriense","O Acheulense","O Solutreense",c
"HOMINIZAÇÃO E PALEOLÍTICO: Qual tecnologia de caça, utilizada pelo *Homo sapiens* (Homem de Cro-Magnon), aumentou dramaticamente a eficácia do arremesso de lanças, sendo mais tarde suplantada pelo arco e flecha?","O biface Acheulense","A cerâmica Jomon","O propulsor (*Atlatl* ou atirador de lança)","A escrita cuneiforme",c
"HOMINIZAÇÃO E PALEOLÍTICO: Qual avanço tecnológico forneceu ao *Homo sapiens* uma superioridade tática na caça de longo alcance e foi um fator significativo em sua vantagem competitiva?","O domínio da navegação a vela.","O uso do osso como artefato simbólico.","O desenvolvimento do arco e flecha.","A construção de moradias permanentes.",c
"REVOLUÇÃO NEOLÍTICA E FIXAÇÃO: Qual marco define a Revolução Neolítica?","O domínio do fogo e a migração para a Europa.","A adoção da agricultura (cultivo de cereais) e a domesticação de animais.","A invenção da metalurgia do bronze.","O surgimento da arte rupestre.",b
"REVOLUÇÃO NEOLÍTICA E FIXAÇÃO: O que a Revolução Neolítica possibilitou que foi crucial para o crescimento demográfico e a organização social complexa?","O retorno ao nomadismo.","A fixação territorial (sedentarização) e a produção estável e previsível de alimentos.","A democratização da metalurgia do ferro.","O desenvolvimento de grandes impérios marítimos.",b
"REVOLUÇÃO NEOLÍTICA E FIXAÇÃO: Qual inovação tecnológica se tornou um marcador do Neolítico e foi crucial para a logística de armazenamento seguro dos excedentes agrícolas?","A pedra polida.","O navio a vela.","O desenvolvimento dos vasos e moringas de cerâmica.","A roda.",c
"REVOLUÇÃO NEOLÍTICA E FIXAÇÃO: A capacidade de gerir e preservar o excedente agrícola liberou parte da população da atividade agrícola diária, impulsionando qual fenômeno, necessário para o desenvolvimento urbano?","O isolamento cultural.","A especialização do trabalho.","O declínio da população.","O aumento do nomadismo.",b
"REVOLUÇÃO NEOLÍTICA E FIXAÇÃO: Qual tipo de embarcação era usada no Egito Antigo para navegação no Nilo, sendo um exemplo de domínio da navegação para transporte e cerimônias?","Trirremes de guerra","Barcos de ferro","Navios a vela de papiro","Bifaces de madeira",c
"IDADE DOS METAIS: O bronze, uma liga de cobre e estanho, permitia qual tipo de estrutura de poder?","Poder descentralizado, devido à abundância dos minérios.","Monopólio do armamento e controle centralizado nos grandes reinos da Idade do Bronze.","Sociedades nômades de caça-coleta.","Sociedades sem especialização do trabalho.",b
"IDADE DOS METAIS: Qual fenômeno de desintegração maciça (c. 1200 a.C.) das sociedades complexas da época, coincidindo com a ascensão do ferro?","O Êxodo Hebreu.","O Colapso da Idade do Bronze.","A Revolução Neolítica.","As Guerras Médicas.",b
"IDADE DOS METAIS: Qual metal, por ser abundante e geograficamente disperso, contribuiu para a descentralização do poder ao minar o monopólio dos antigos impérios?","O Cobre","O Estanho","O Bronze","O Ferro",d
"IDADE DOS METAIS: O que a disseminação do uso do ferro permitiu a grupos menores e periféricos, desfazendo os monopólios de recursos dos antigos reinos?","O retorno ao nomadismo.","O controle do armamento e a descentralização do poder.","A construção de grandes pirâmides.","A invenção do alfabeto.",b
