# TEMA: A Revolução Francesa (1789-1799) - Perspectiva da História Católica
# DESCRIÇÃO: Um estudo sobre a Revolução Francesa focado na ruptura com a civilização cristã, o ataque à Igreja e os legados do laicismo e do igualitarismo radical.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"Qual é o objetivo principal da Revolução Francesa, segundo a perspectiva católica tradicional apresentada no texto?","Substituir a monarquia por um governo republicano liberal","Substituir a autoridade de Deus e da Tradição pela soberania absoluta da Vontade Humana","Acabar com os privilégios da nobreza e do clero","Implementar a Declaração dos Direitos do Homem e do Cidadão",b
"Qual ideologia do século XVIII é apresentada no relatório como o 'profundo veneno filosófico' que preparou o terreno para a Revolução?","O Socialismo Utópico","O Mercantilismo","O Iluminismo","O Positivismo",c
"Segundo a visão católica tradicional, qual é a 'consequência lógica' do Protestantismo e do Racionalismo Iluminista?","A ascensão do capitalismo financeiro","A negação da autoridade do Rei (autoridade temporal)","O retorno à Patrística","O fortalecimento do Papado",b
"Qual foi o primeiro grande ataque institucional da Assembleia Constituinte, em Agosto de 1789, que destituiu a Igreja de sua base econômica tradicional?","A nacionalização dos bens do clero","O fim do Dízimo e dos privilégios feudais","A Lei de Le Chapelier","A convocação dos Estados Gerais",b
"O Artigo 10 da Declaração dos Direitos do Homem e do Cidadão (DDHC) é criticado por ter fundamentado os direitos humanos em qual autoridade, desconsiderando a Lei Divina?","Na autoridade do Rei Luís XVI","Na natureza humana autônoma (Iluminismo)","Na soberania da Nação Francesa","Nos princípios do Antigo Regime",b
"Qual decreto de julho de 1790 transformou sacerdotes em funcionários públicos eclesiásticos e exigiu que fossem eleitos por assembleias locais?","O Édito de Nantes","A Concordata de 1801","A Constituição Civil do Clero","A Lei do Máximo",c
"Como foram chamados os membros do clero que se recusaram a prestar o juramento obrigatório de lealdade à Constituição Civil, mantendo a fidelidade ao Papa?","Clero Juramentado","Clero Constitucional","Clero Monárquico","Clero Refratário",d
"Qual foi a encíclica emitida pelo Papa Pio VI em abril de 1791 que condenou as ações da Revolução e decretou a excomunhão do clero juramentado?","Rerum Novarum","Pacem in Terris","Charitas","Auctorem Fidei",c
"Qual líder jacobino do Período do Terror, apelidado de 'O Incorruptível', tentou impor cultos estatais como o Culto do Ser Supremo?","George Danton","Jean-Paul Marat","Maximilien Robespierre","Jacques Hébert",c
"Qual ato foi o exemplo máximo da soberania estatal tentando tomar o lugar de Deus como fonte de moralidade e espiritualidade durante o Terror?","A queda da Bastilha","O Culto da Razão e o Culto do Ser Supremo","A execução de Luís XVI","O Golpe do 18 de Brumário",b
"O que a Lei de Le Chapelier, que permaneceu em vigor durante o Diretório, proibia, servindo de exemplo da hipocrisia da 'igualdade' para os trabalhadores?","A liberdade de imprensa","A propriedade privada da burguesia","Os sindicatos de trabalhadores e as greves","A entrada de imigrantes",c
"Qual é o 'Mal Maior' e principal legado ideológico da Revolução Francesa, segundo a análise católica, que impulsionou a secularização total da vida pública?","O Totalitarismo do Terror","O Laicismo (separação hostil entre Igreja e Estado)","O Militarismo de Napoleão","O Individualismo Liberal",b
"Qual filósofo, ao lado de Louis De Bonald, é citado como um dos primeiros intelectuais católicos a desenvolver as bases da filosofia contrarrevolucionária moderna?","John Locke","Jean-Jacques Rousseau","Joseph De Maistre","Voltaire",c
"O martírio de qual grupo de religiosas é citado como exemplo de heroísmo que concedeu a 'graça de nos entregarmos cheios de generosidade ao amor de Cristo'?","As freiras de Saint-Denis","As Carmelitas de Compiègne","As Dominicanas de Nancy","As Ursulinas de Bordeaux",b
"Qual dos Três Estados da sociedade francesa do Antigo Regime sustentava a maior parte da carga tributária?","O Clero (Primeiro Estado)","A Nobreza (Segundo Estado)","O Terceiro Estado","O Exército Real",c
"A Revolução Francesa, do seu início em 1789 até o Golpe de 18 de Brumário em 1799, é universalmente reconhecida como o evento que encerrou qual período histórico?","A Idade Média","A Idade Moderna (Antigo Regime)","A Idade Antiga","A Era das Revoluções",b
"Qual distinção sutil permitiu que o espírito laico penetrasse nos meios católicos, fazendo a Igreja aceitar na prática a separação Igreja-Estado?","A distinção entre Igreja Galicana e Igreja Romana","A famosa distinção entre a Tese e a Hipótese","A distinção entre Clérigo Juramentado e Refratário","A distinção entre Doutrina e Dogma",b
"Qual evento, ocorrido em 14 de julho de 1789, é considerado o marco simbólico que deu início à fase da revolução aberta?","A Marcha sobre Versalhes","A Queda da Bastilha","A Execução de Robespierre","A Convocação dos Estados Gerais",b
"A execução do Rei Luís XVI é vista, a partir da perspectiva católica tradicional, como um ato de regicídio e um ataque simbólico a qual autoridade?","A autoridade do Terceiro Estado","A autoridade do Clero Refratário","A autoridade temporal de origem divina","A autoridade dos intelectuais iluministas",c
"Além dos pensadores franceses, qual pensador inglês é citado por ter se insurgido contra os desdobramentos da Revolução Francesa, criticando sua natureza abstrata?","John Locke","Edmund Burke","Thomas Hobbes","Adam Smith",b
"Qual período da Revolução, compreendido entre 1795 e 1799, foi caracterizado pela alta burguesia buscando ordem e estabilidade econômica e que antecedeu o golpe de Napoleão?","O Período do Terror","A Monarquia Constitucional","O Diretório","O Consulado",c
